review_id,product_name,rating,compound_score,sentiment_label,cleaned_review_text
DEMO-00140,The Pragmatic Programmer: 20th Anniversary,1,-0.918,Negative,"After reading mixed feedback online, I tried the The Pragmatic Programmer: 20th Anniversary and extremely dissatisfied. Defective parts, awful customer service, and refusing to honor the warranty. Total disaster. [Ref: ID-140]"
DEMO-00001,UltraClean Noise-Cancelling Headphones,2,-0.7269,Negative,"Regarding this UltraClean Noise-Cancelling Headphones, flimsy construction and frustrating ergonomics. It technically works, but is unpleasant to use regularly. [Ref: ID-1]"
DEMO-00043,UltraClean Noise-Cancelling Headphones,2,-0.7269,Negative,"My hands-on experience with the UltraClean Noise-Cancelling Headphones shows that flimsy construction and frustrating ergonomics. It technically works, but is unpleasant to use regularly. [Ref: ID-43]"
DEMO-00028,HydroFlow Insulated Stainless Water Bottle,2,-0.7269,Negative,"After reading mixed feedback online, I tried the HydroFlow Insulated Stainless Water Bottle and flimsy construction and frustrating ergonomics. It technically works, but is unpleasant to use regularly. [Ref: ID-28]"
DEMO-00103,AromaBreeze Stainless Steel Espresso Maker,2,-0.7269,Negative,"Having ordered the AromaBreeze Stainless Steel Espresso Maker last month, flimsy construction and frustrating ergonomics. It technically works, but is unpleasant to use regularly. [Ref: ID-103]"
DEMO-00119,ApexFit Resistance Band Training Set,2,-0.7269,Negative,"After reading mixed feedback online, I tried the ApexFit Resistance Band Training Set and flimsy construction and frustrating ergonomics. It technically works, but is unpleasant to use regularly. [Ref: ID-119]"
DEMO-00085,SilkTouch Ceramic Hair Straightener,2,-0.7269,Negative,"Purchased the SilkTouch Ceramic Hair Straightener recently after comparing several options, flimsy construction and frustrating ergonomics. It technically works, but is unpleasant to use regularly. [Ref: ID-85]"
DEMO-00136,HydroFlow Insulated Stainless Water Bottle,2,-0.7269,Negative,"Purchased the HydroFlow Insulated Stainless Water Bottle recently after comparing several options, flimsy construction and frustrating ergonomics. It technically works, but is unpleasant to use regularly. [Ref: ID-136]"
DEMO-00152,Data Science from Scratch (2nd Edition),2,-0.7269,Negative,"Regarding this Data Science from Scratch (2nd Edition), flimsy construction and frustrating ergonomics. It technically works, but is unpleasant to use regularly. [Ref: ID-152]"
DEMO-00082,ProGamer Wireless Mechanical Keyboard,2,-0.7269,Negative,"My hands-on experience with the ProGamer Wireless Mechanical Keyboard shows that flimsy construction and frustrating ergonomics. It technically works, but is unpleasant to use regularly. [Ref: ID-82]"
