review_id,product_name,product_category,source,source_url,review_title,review_text,rating,review_date,verified_purchase,helpful_votes,ingestion_timestamp,data_mode,original_review_text,cleaned_review_text,character_count,word_count,sentence_count,exclamation_count,question_count,uppercase_ratio,has_url,has_repeated_punctuation,review_year,review_month,review_quarter,rating_group
DEMO-00001,UltraClean Noise-Cancelling Headphones,Electronics,Demo Dataset,https://example.com/demo-review-data,Mediocre experience,"Regarding this UltraClean Noise-Cancelling Headphones, flimsy construction and frustrating ergonomics. It technically works, but is unpleasant to use regularly. [Ref: ID-1]",2,2026-02-11,False,0,2026-09-14T10:00:00Z,DEMO,"Regarding this UltraClean Noise-Cancelling Headphones, flimsy construction and frustrating ergonomics. It technically works, but is unpleasant to use regularly. [Ref: ID-1]","Regarding this UltraClean Noise-Cancelling Headphones, flimsy construction and frustrating ergonomics. It technically works, but is unpleasant to use regularly. [Ref: ID-1]",172,21,3,0,0,0.0704,False,False,2026,2,1,Negative
DEMO-00002,AromaBreeze Stainless Steel Espresso Maker,Home and Kitchen,Demo Dataset,https://example.com/demo-review-data,Difficult setup but great once working,"Purchased the AromaBreeze Stainless Steel Espresso Maker recently after comparing several options, customer service was unhelpful and instructions were missing, but once I finally got it configured, performance was outstanding. [Ref: ID-2]",4,2025-10-05,True,0,2026-09-14T10:00:00Z,DEMO,"Purchased the AromaBreeze Stainless Steel Espresso Maker recently after comparing several options, customer service was unhelpful and instructions were missing, but once I finally got it configured, performance was outstanding. [Ref: ID-2]","Purchased the AromaBreeze Stainless Steel Espresso Maker recently after comparing several options, customer service was unhelpful and instructions were missing, but once I finally got it configured, performance was outstanding. [Ref: ID-2]",239,32,2,0,0,0.0553,False,False,2025,10,4,Positive
DEMO-00003,TrailBlazer Lightweight Trekking Poles,Sports and Outdoors,Demo Dataset,https://example.com/demo-review-data,Dependable and practical,"We needed a reliable solution and chose the TrailBlazer Lightweight Trekking Poles, and works as expected with consistent results. A slight learning curve at first, but smooth sailing afterwards. [Ref: ID-3]",4,2025-11-11,False,4,2026-09-14T10:00:00Z,DEMO,"We needed a reliable solution and chose the TrailBlazer Lightweight Trekking Poles, and works as expected with consistent results. A slight learning curve at first, but smooth sailing afterwards. [Ref: ID-3]","We needed a reliable solution and chose the TrailBlazer Lightweight Trekking Poles, and works as expected with consistent results. A slight learning curve at first, but smooth sailing afterwards. [Ref: ID-3]",207,31,3,0,0,0.0595,False,False,2025,11,4,Positive
DEMO-00004,UltraClean Noise-Cancelling Headphones,Electronics,Demo Dataset,https://example.com/demo-review-data,Very solid product with minor flaws,"Regarding this UltraClean Noise-Cancelling Headphones, it performs well for day-to-day tasks. The build is respectable, although the included instructions could have been slightly clearer. [Ref: ID-4]",4,2025-08-25,True,0,2026-09-14T10:00:00Z,DEMO,"Regarding this UltraClean Noise-Cancelling Headphones, it performs well for day-to-day tasks. The build is respectable, although the included instructions could have been slightly clearer. [Ref: ID-4]","Regarding this UltraClean Noise-Cancelling Headphones, it performs well for day-to-day tasks. The build is respectable, although the included instructions could have been slightly clearer. [Ref: ID-4]",200,26,3,0,0,0.0613,False,False,2025,8,3,Positive
DEMO-00005,PureAir HEPA Room Air Purifier,Home and Kitchen,Demo Dataset,https://example.com/demo-review-data,Somewhat underwhelming,Here is my honest take on the PureAir HEPA Room Air Purifier: I had higher hopes based on online claims. The performance is sluggish and build quality feels rather cheap for the price tag. [Ref: ID-5],2,2025-06-30,True,8,2026-09-14T10:00:00Z,DEMO,Here is my honest take on the PureAir HEPA Room Air Purifier: I had higher hopes based on online claims. The performance is sluggish and build quality feels rather cheap for the price tag. [Ref: ID-5],Here is my honest take on the PureAir HEPA Room Air Purifier: I had higher hopes based on online claims. The performance is sluggish and build quality feels rather cheap for the price tag. [Ref: ID-5],200,36,3,0,0,0.0955,False,False,2025,6,2,Negative
DEMO-00006,PureAir HEPA Room Air Purifier,Home and Kitchen,Demo Dataset,https://example.com/demo-review-data,,"Regarding this PureAir HEPA Room Air Purifier, terrible quality control. Began overheating immediately and made strange noises. Disgraceful standard. [Ref: ID-6]",1,2026-01-28,True,0,2026-09-14T10:00:00Z,DEMO,"Regarding this PureAir HEPA Room Air Purifier, terrible quality control. Began overheating immediately and made strange noises. Disgraceful standard. [Ref: ID-6]","Regarding this PureAir HEPA Room Air Purifier, terrible quality control. Began overheating immediately and made strange noises. Disgraceful standard. [Ref: ID-6]",161,21,4,0,0,0.1136,False,False,2026,1,1,Negative
DEMO-00007,Designing Data-Intensive Applications,Books,Demo Dataset,https://example.com/demo-review-data,Satisfied with this buy,"I have been testing this Designing Data-Intensive Applications for several weeks now and good functionality and nice aesthetic. A few minor plastic components, but functionally it works very well. [Ref: ID-7]",4,2025-11-09,True,3,2026-09-14T10:00:00Z,DEMO,"I have been testing this Designing Data-Intensive Applications for several weeks now and good functionality and nice aesthetic. A few minor plastic components, but functionally it works very well. [Ref: ID-7]","I have been testing this Designing Data-Intensive Applications for several weeks now and good functionality and nice aesthetic. A few minor plastic components, but functionally it works very well. [Ref: ID-7]",208,31,3,0,0,0.0533,False,False,2025,11,4,Positive
DEMO-00008,PureAir HEPA Room Air Purifier,Home and Kitchen,Demo Dataset,https://example.com/demo-review-data,"Loved the design, hated the durability","Having ordered the PureAir HEPA Room Air Purifier last month, looks gorgeous on my counter and received compliments, but unfortunately it broke down after only three weeks of light use. [Ref: ID-8]",2,2025-02-10,True,1,2026-09-14T10:00:00Z,DEMO,"Having ordered the PureAir HEPA Room Air Purifier last month, looks gorgeous on my counter and received compliments, but unfortunately it broke down after only three weeks of light use. [Ref: ID-8]","Having ordered the PureAir HEPA Room Air Purifier last month, looks gorgeous on my counter and received compliments, but unfortunately it broke down after only three weeks of light use. [Ref: ID-8]",197,32,2,0,0,0.0823,False,False,2025,2,1,Negative
DEMO-00009,HydraGlow Hyaluronic Acid Facial Serum,Beauty and Personal Care,Demo Dataset,https://example.com/demo-review-data,Best purchase of the year,"Having ordered the HydraGlow Hyaluronic Acid Facial Serum last month, it delivers flawless performance and is worth every single penny. It feels sturdy, elegant, and genuinely works as advertised. 10/10! [Ref: ID-9]",5,2025-10-19,True,0,2026-09-14T10:00:00Z,DEMO,"Having ordered the HydraGlow Hyaluronic Acid Facial Serum last month, it delivers flawless performance and is worth every single penny. It feels sturdy, elegant, and genuinely works as advertised. 10/10! [Ref: ID-9]","Having ordered the HydraGlow Hyaluronic Acid Facial Serum last month, it delivers flawless performance and is worth every single penny. It feels sturdy, elegant, and genuinely works as advertised. 10/10! [Ref: ID-9]",215,32,4,1,0,0.0655,False,False,2025,10,4,Positive
DEMO-00010,UltraClean Noise-Cancelling Headphones,Electronics,Demo Dataset,https://example.com/demo-review-data,Ordinary product without highlights,"Purchased the UltraClean Noise-Cancelling Headphones recently after comparing several options, does what it says on the box. No major competitive advantages and no catastrophic failures either. [Ref: ID-10]",3,2025-04-02,True,2,2026-09-14T10:00:00Z,DEMO,"Purchased the UltraClean Noise-Cancelling Headphones recently after comparing several options, does what it says on the box. No major competitive advantages and no catastrophic failures either. [Ref: ID-10]","Purchased the UltraClean Noise-Cancelling Headphones recently after comparing several options, does what it says on the box. No major competitive advantages and no catastrophic failures either. [Ref: ID-10]",206,28,3,0,0,0.0592,False,False,2025,4,2,Neutral
