review_id,product_name,rating,rating_group,cleaned_review_text,compound_score,sentiment_label,rating_sentiment_match
DEMO-00005,PureAir HEPA Room Air Purifier,2,Negative,Here is my honest take on the PureAir HEPA Room Air Purifier: I had higher hopes based on online claims. The performance is sluggish and build quality feels rather cheap for the price tag. [Ref: ID-5],0.5267,Positive,False
DEMO-00010,UltraClean Noise-Cancelling Headphones,3,Neutral,"Purchased the UltraClean Noise-Cancelling Headphones recently after comparing several options, does what it says on the box. No major competitive advantages and no catastrophic failures either. [Ref: ID-10]",0.5961,Positive,False
DEMO-00012,Vision4K Smart Streaming Dongle,3,Neutral,Here is my honest take on the Vision4K Smart Streaming Dongle: does what it says on the box. No major competitive advantages and no catastrophic failures either. [Ref: ID-12],0.8713,Positive,False
DEMO-00014,Botanical Herbals Rejuvenating Night Cream,4,Positive,"Having ordered the Botanical Herbals Rejuvenating Night Cream last month, works as expected with consistent results. A slight learning curve at first, but smooth sailing afterwards. [Ref: ID-14]",0.0,Neutral,False
DEMO-00022,Botanical Herbals Rejuvenating Night Cream,4,Positive,"Regarding this Botanical Herbals Rejuvenating Night Cream, works as expected with consistent results. A slight learning curve at first, but smooth sailing afterwards. [Ref: ID-22]",0.0,Neutral,False
DEMO-00029,ApexFit Resistance Band Training Set,3,Neutral,"Having ordered the ApexFit Resistance Band Training Set last month, does what it says on the box. No major competitive advantages and no catastrophic failures either. [Ref: ID-29]",0.5961,Positive,False
DEMO-00038,Vision4K Smart Streaming Dongle,3,Neutral,"Here is my honest take on the Vision4K Smart Streaming Dongle: the product arrived as described. It is okay for the price, though there are better alternatives if you spend slightly more. [Ref: ID-38]",0.8689,Positive,False
DEMO-00040,Botanical Herbals Rejuvenating Night Cream,2,Negative,"After extensive daily use of the Botanical Herbals Rejuvenating Night Cream, worked fine for the first two weeks, then started showing signs of wear and inconsistent behavior. Not really worth the hassle. [Ref: ID-40] Check out specs at [URL] for more.",-0.0214,Neutral,False
DEMO-00044,AromaBreeze Stainless Steel Espresso Maker,2,Negative,"I took a chance on the AromaBreeze Stainless Steel Espresso Maker and worked fine for the first two weeks, then started showing signs of wear and inconsistent behavior. Not really worth the hassle. [Ref: ID-44]",0.2304,Positive,False
DEMO-00045,UltraClean Noise-Cancelling Headphones,2,Negative,"Purchased the UltraClean Noise-Cancelling Headphones recently after comparing several options, the finish peeled slightly and response times are slow. Would suggest looking at competitors instead. [Ref: ID-45]",0.0,Neutral,False
