Metric,Value,Description
Total Rows,212,Total raw review records ingested
Total Columns,13,Total schema columns
Fully Duplicate Rows,2,Identical rows across all fields
Duplicate Review Texts,4,Rows sharing identical review text
Missing Review Titles,3 (1.4%),Records missing a review title
Missing Helpful Votes,3 (1.4%),Records missing helpful vote count
Invalid Ratings Count,4,Ratings outside 1-5 integer scale
Unique Products,15,Distinct product names represented
Unique Categories,5,Distinct product categories
Earliest Review Date,2025-01-15,Minimum review timestamp
Latest Review Date,2026-09-04,Maximum review timestamp
